,名称,カテゴリー,アドレス,アクセス,築年数,構造,階数,家賃,管理費,敷金,礼金,間取り,面積,URL
28,シェラトン南千住,賃貸マンション,東京都荒川区南千住７,ＪＲ常磐線/南千住駅 歩3分,新築,10階建,8階,16.4万円,12000円,-,-,2LDK,56.08m2,https://suumo.jp/chintai/jnc_000079050761/?bc=100285927740
29,シェラトン南千住,賃貸マンション,東京都荒川区南千住７,ＪＲ常磐線/南千住駅 歩3分,新築,10階建,9階,16.5万円,12000円,-,-,2LDK,56.08m2,https://suumo.jp/chintai/jnc_000079050762/?bc=100309751234
30,シェラトン南千住,賃貸マンション,東京都荒川区南千住７,ＪＲ常磐線/南千住駅 歩3分,新築,10階建,10階,16.6万円,12000円,-,-,2LDK,56.08m2,https://suumo.jp/chintai/jnc_000079050757/?bc=100285727427
39,ドゥーエ南千住,賃貸マンション,東京都荒川区南千住６,東京メトロ日比谷線/南千住駅 歩9分,築3年,7階建,2階,18.5万円,15000円,18.5万円,18.5万円,2LDK,50.38m2,https://suumo.jp/chintai/jnc_000079128102/?bc=100255697246
40,ドゥーエ南千住,賃貸マンション,東京都荒川区南千住６,東京メトロ日比谷線/南千住駅 歩9分,築3年,7階建,6階,18.9万円,15000円,18.9万円,18.9万円,2LDK,50.38m2,https://suumo.jp/chintai/jnc_000077879229/?bc=100303029555
45,ラフォーレ日暮里II,賃貸マンション,東京都荒川区東日暮里４,ＪＲ山手線/鶯谷駅 歩9分,築31年,4階建,3階,18万円,10000円,18万円,18万円,3LDK,100m2,https://suumo.jp/chintai/jnc_000045012761/?bc=100309629566
48,ルフレ プレミアム日暮里,賃貸マンション,東京都荒川区東日暮里６,ＪＲ常磐線/三河島駅 歩3分,築3年,8階建,8階,18万円,10000円,18万円,18万円,3DK,52.33m2,https://suumo.jp/chintai/jnc_000079128093/?bc=100309751759
51,ＯＲＭＥ　ＣＯＵＲＴ　ＮＩＰＰＯＲＩ　ＥＡＳＴ,賃貸マンション,東京都荒川区東日暮里５,ＪＲ山手線/鶯谷駅 歩8分,築2年,12階建,8階,21.3万円,10000円,21.3万円,21.3万円,2LDK,53.33m2,https://suumo.jp/chintai/jnc_000079111084/?bc=100309681590
54,ＪＲ山手線 日暮里駅 8階建 築3年,賃貸マンション,東京都荒川区東日暮里６,ＪＲ山手線/日暮里駅 歩10分,築3年,8階建,8階,18万円,10000円,18万円,18万円,3DK,52.33m2,https://suumo.jp/chintai/jnc_000079133940/?bc=100309758505
57,コートグランディア西新井,賃貸マンション,東京都足立区島根３,東武伊勢崎線/西新井駅 歩7分,築29年,4階建,1階,11.6万円,3000円,11.6万円,11.6万円,3LDK,66.61m2,https://suumo.jp/chintai/jnc_000077276908/?bc=100299649441
60,カルム日暮里レジデンス,賃貸マンション,東京都荒川区東日暮里５,ＪＲ山手線/日暮里駅 歩6分,築4年,9階建,5階,18.6万円,10000円,18.6万円,18.6万円,1LDK,50.87m2,https://suumo.jp/chintai/jnc_000047627488/?bc=100309223902
63,田端スカイハイツ,賃貸マンション,東京都荒川区西尾久４,ＪＲ高崎線/尾久駅 歩7分,築43年,11階建,10階,14万円,-,14万円,14万円,2LDK,61.6m2,https://suumo.jp/chintai/jnc_000078208058/?bc=100309330760
64,田端スカイハイツ,賃貸マンション,東京都荒川区西尾久４,ＪＲ高崎線/尾久駅 歩7分,築43年,11階建,1階,19.5万円,15000円,19.5万円,19.5万円,3LDK,96.26m2,https://suumo.jp/chintai/jnc_000061021176/?bc=100309572162
69,プレシス東日暮里,賃貸マンション,東京都荒川区東日暮里４,ＪＲ山手線/鶯谷駅 歩11分,築10年,6階建,4階,20万円,10000円,20万円,-,2LDK,56.51m2,https://suumo.jp/chintai/jnc_000078815432/?bc=100307874197
70,プレシス東日暮里,賃貸マンション,東京都荒川区東日暮里４,ＪＲ山手線/鶯谷駅 歩11分,築10年,6階建,4階,20万円,10000円,20万円,-,2LDK,56.51m2,https://suumo.jp/chintai/jnc_000079001482/?bc=100308962596
75,Kolet綾瀬#04,賃貸一戸建て,東京都葛飾区西亀有２,ＪＲ常磐線/綾瀬駅 歩11分,新築,3階建,1階,21.2万円,-,21.2万円,21.2万円,3SLDK,77.86m2,https://suumo.jp/chintai/jnc_000079095962/?bc=100309592310
76,Kolet綾瀬#04,賃貸一戸建て,東京都葛飾区西亀有２,ＪＲ常磐線/綾瀬駅 歩11分,新築,3階建,1-3階,21.2万円,-,21.2万円,21.2万円,3LDK,77.86m2,https://suumo.jp/chintai/jnc_000079105597/?bc=100309592700
77,Kolet綾瀬#04,賃貸一戸建て,東京都葛飾区西亀有２,ＪＲ常磐線/綾瀬駅 歩11分,新築,3階建,1階,21.2万円,-,21.2万円,21.2万円,3LDK,77.86m2,https://suumo.jp/chintai/jnc_000079128280/?bc=100309729890
78,Kolet綾瀬#04,賃貸一戸建て,東京都葛飾区西亀有２,ＪＲ常磐線/綾瀬駅 歩11分,新築,3階建,1階,21.2万円,-,21.2万円,21.2万円,3LDK,77.86m2,https://suumo.jp/chintai/jnc_000079105596/?bc=100309602784
87,シャルマン青井,賃貸マンション,東京都足立区青井３,つくばエクスプレス/青井駅 歩5分,築11年,4階建,4階,12.05万円,6000円,-,12.05万円,2LDK,54.99m2,https://suumo.jp/chintai/jnc_000079128193/?bc=100309710410
90,葛飾区立石戸建1,賃貸アパート,東京都葛飾区立石６,京成本線/青砥駅 歩7分,築36年,2階建,1-3階,15.5万円,-,15.5万円,15.5万円,3LDK,98.94m2,https://suumo.jp/chintai/jnc_000079111225/?bc=100309699149
91,葛飾区立石戸建1,賃貸アパート,東京都葛飾区立石６,京成本線/青砥駅 歩7分,築36年,2階建,2階,15.5万円,-,15.5万円,15.5万円,3LDK,98.94m2,https://suumo.jp/chintai/jnc_000079100020/?bc=100309602816
92,葛飾区立石戸建1,賃貸アパート,東京都葛飾区立石６,京成本線/青砥駅 歩7分,築36年,2階建,1-2階,15.5万円,-,15.5万円,15.5万円,3LDK,98.94m2,https://suumo.jp/chintai/jnc_000079121151/?bc=100309681592
99,プレジール西新井,賃貸マンション,東京都足立区関原３,東武伊勢崎線/西新井駅 歩9分,築23年,5階建,3階,13.6万円,5000円,13.6万円,13.6万円,3LDK,72.45m2,https://suumo.jp/chintai/jnc_000079121084/?bc=100309714555
102,レユシール　イコウ,賃貸アパート,東京都足立区西伊興３,日暮里・舎人ライナー/舎人公園駅 歩10分,築8年,2階建,1階,9.4万円,5000円,-,4.7万円,2LDK,50.4m2,https://suumo.jp/chintai/jnc_000079121131/?bc=100309714417
103,レユシール　イコウ,賃貸アパート,東京都足立区西伊興３,日暮里・舎人ライナー/舎人公園駅 歩10分,築8年,2階建,2階,10.5万円,5000円,-,5.25万円,2LDK,59.87m2,https://suumo.jp/chintai/jnc_000079121132/?bc=100309681588
108,Ｂｌｕｍｅｎｌｉｅｄ,賃貸アパート,東京都足立区舎人２,日暮里・舎人ライナー/見沼代親水公園駅 歩9分,築5年,3階建,2階,11.3万円,5800円,-,-,2LDK,57.75m2,https://suumo.jp/chintai/jnc_000079121102/?bc=100309714504
111,ハイネスアヤセＩＩ,賃貸マンション,東京都葛飾区小菅４,ＪＲ常磐線/綾瀬駅 歩2分,築31年,7階建,5階,12.8万円,9000円,12.8万円,-,2LDK,62.31m2,https://suumo.jp/chintai/jnc_000061635515/?bc=100309690638
112,ハイネスアヤセＩＩ,賃貸マンション,東京都葛飾区小菅４,ＪＲ常磐線/綾瀬駅 歩2分,築31年,7階建,7階,13万円,9000円,13万円,-,3LDK,61.75m2,https://suumo.jp/chintai/jnc_000055363930/?bc=100309681601
117,東京メトロ千代田線 綾瀬駅 7階建 築31年,賃貸マンション,東京都葛飾区小菅４,東京メトロ千代田線/綾瀬駅 歩2分,築31年,7階建,5階,12.8万円,9000円,12.8万円,-,2LDK,62.31m2,https://suumo.jp/chintai/jnc_000061693187/?bc=100309727028
118,東京メトロ千代田線 綾瀬駅 7階建 築31年,賃貸マンション,東京都葛飾区小菅４,東京メトロ千代田線/綾瀬駅 歩2分,築31年,7階建,7階,13万円,9000円,13万円,-,3LDK,61.75m2,https://suumo.jp/chintai/jnc_000055314711/?bc=100309755352
123,Kolet綾瀬#02,賃貸一戸建て,東京都葛飾区西亀有２,ＪＲ常磐線/綾瀬駅 歩11分,新築,3階建,1階,23.8万円,-,23.8万円,23.8万円,3SLDK,93.46m2,https://suumo.jp/chintai/jnc_000079095961/?bc=100309592144
124,Kolet綾瀬#02,賃貸一戸建て,東京都葛飾区西亀有２,ＪＲ常磐線/綾瀬駅 歩11分,新築,3階建,1-3階,23.8万円,-,23.8万円,23.8万円,3SLDK,93.46m2,https://suumo.jp/chintai/jnc_000079105594/?bc=100309592615
125,Kolet綾瀬#02,賃貸一戸建て,東京都葛飾区西亀有２,ＪＲ常磐線/綾瀬駅 歩11分,新築,3階建,1階,23.8万円,-,23.8万円,23.8万円,3SLDK,93.46m2,https://suumo.jp/chintai/jnc_000079128279/?bc=100309729884
126,Kolet綾瀬#02,賃貸一戸建て,東京都葛飾区西亀有２,ＪＲ常磐線/綾瀬駅 歩11分,新築,3階建,1階,23.8万円,-,23.8万円,23.8万円,3SLDK,93.46m2,https://suumo.jp/chintai/jnc_000079105593/?bc=100309602819
135,RISE,賃貸アパート,東京都足立区関原３,東武伊勢崎線/西新井駅 歩9分,築7年,2階建,1階,12.6万円,3000円,12.6万円,12.6万円,2LDK,54.62m2,https://suumo.jp/chintai/jnc_000079111190/?bc=100309631564
138,Kolet綾瀬#03,賃貸一戸建て,東京都葛飾区西亀有２,ＪＲ常磐線/綾瀬駅 歩11分,新築,3階建,1階,23.9万円,-,23.9万円,23.9万円,3SLDK,93.15m2,https://suumo.jp/chintai/jnc_000079095960/?bc=100309592135
139,Kolet綾瀬#03,賃貸一戸建て,東京都葛飾区西亀有２,ＪＲ常磐線/綾瀬駅 歩11分,新築,3階建,1-3階,23.9万円,-,23.9万円,23.9万円,3SLDK,93.15m2,https://suumo.jp/chintai/jnc_000079105592/?bc=100309592617
140,Kolet綾瀬#03,賃貸一戸建て,東京都葛飾区西亀有２,ＪＲ常磐線/綾瀬駅 歩11分,新築,3階建,1階,23.9万円,-,23.9万円,23.9万円,3SLDK,93.15m2,https://suumo.jp/chintai/jnc_000079128278/?bc=100309729899
141,Kolet綾瀬#03,賃貸一戸建て,東京都葛飾区西亀有２,ＪＲ常磐線/綾瀬駅 歩11分,新築,3階建,1階,23.9万円,-,23.9万円,23.9万円,3SLDK,93.15m2,https://suumo.jp/chintai/jnc_000079105591/?bc=100309602815
150,つくばエクスプレス 六町駅 3階建 築3年,賃貸マンション,東京都足立区南花畑２,つくばエクスプレス/六町駅 歩10分,築3年,3階建,1階,11.1万円,5500円,22.2万円,22.2万円,2LDK,52.34m2,https://suumo.jp/chintai/jnc_000079105558/?bc=100309603303
153,Kolet綾瀬#05,賃貸一戸建て,東京都葛飾区西亀有２,ＪＲ常磐線/綾瀬駅 歩11分,新築,3階建,1階,21.2万円,-,21.2万円,21.2万円,3LDK,77.86m2,https://suumo.jp/chintai/jnc_000079095963/?bc=100309592180
154,Kolet綾瀬#05,賃貸一戸建て,東京都葛飾区西亀有２,ＪＲ常磐線/綾瀬駅 歩11分,新築,3階建,1-3階,21.2万円,-,21.2万円,21.2万円,3LDK,77.86m2,https://suumo.jp/chintai/jnc_000079105599/?bc=100309592744
155,Kolet綾瀬#05,賃貸一戸建て,東京都葛飾区西亀有２,ＪＲ常磐線/綾瀬駅 歩11分,新築,3階建,1階,21.2万円,-,21.2万円,21.2万円,3LDK,77.86m2,https://suumo.jp/chintai/jnc_000079128281/?bc=100309730048
156,Kolet綾瀬#05,賃貸一戸建て,東京都葛飾区西亀有２,ＪＲ常磐線/綾瀬駅 歩11分,新築,3階建,1階,21.2万円,-,21.2万円,21.2万円,3LDK,77.86m2,https://suumo.jp/chintai/jnc_000079105598/?bc=100309602799
165,ビエラコート綾瀬,賃貸マンション,東京都足立区綾瀬３,ＪＲ常磐線/綾瀬駅 歩8分,築32年,地下1地上6階建,4階,14万円,12000円,14万円,14万円,3LDK,71.89m2,https://suumo.jp/chintai/jnc_000079111177/?bc=100309714655
166,ビエラコート綾瀬,賃貸マンション,東京都足立区綾瀬３,ＪＲ常磐線/綾瀬駅 歩8分,築32年,地下1地上6階建,2階,14.2万円,12000円,14.2万円,14.2万円,3LDK,68.7m2,https://suumo.jp/chintai/jnc_000076993269/?bc=100298174414
171,都営三田線 西高島平駅 6階建 築25年,賃貸マンション,東京都板橋区三園１,都営三田線/西高島平駅 歩8分,築25年,6階建,3階,11.5万円,10000円,11.5万円,-,3LDK,70.6m2,https://suumo.jp/chintai/jnc_000077984452/?bc=100303606181
174,ステーションプラザタワー,賃貸マンション,東京都荒川区西日暮里２,ＪＲ山手線/日暮里駅 歩1分,築14年,地下2地上36階建,15階,19.8万円,10000円,19.8万円,19.8万円,1LDK,53.11m2,https://suumo.jp/chintai/jnc_000078554668/?bc=100301099735
175,ステーションプラザタワー,賃貸マンション,東京都荒川区西日暮里２,ＪＲ山手線/日暮里駅 歩1分,築14年,地下2地上36階建,15階,19.8万円,10000円,19.8万円,19.8万円,1LDK,53.11m2,https://suumo.jp/chintai/jnc_000078831913/?bc=100306162322
176,ステーションプラザタワー,賃貸マンション,東京都荒川区西日暮里２,ＪＲ山手線/日暮里駅 歩1分,築14年,地下2地上36階建,15階,20.3万円,10000円,20.3万円,20.3万円,1LDK,53.11m2,https://suumo.jp/chintai/jnc_000077527740/?bc=100306034973
177,ステーションプラザタワー,賃貸マンション,東京都荒川区西日暮里２,ＪＲ山手線/日暮里駅 歩1分,築14年,地下2地上36階建,12階,21.3万円,15000円,21.3万円,21.3万円,2LDK,56.02m2,https://suumo.jp/chintai/jnc_000078123636/?bc=100304114021
178,ステーションプラザタワー,賃貸マンション,東京都荒川区西日暮里２,ＪＲ山手線/日暮里駅 歩1分,築14年,地下2地上36階建,12階,21.3万円,15000円,21.3万円,21.3万円,2LDK,56.02m2,https://suumo.jp/chintai/jnc_000078123635/?bc=100304124871
179,ステーションプラザタワー,賃貸マンション,東京都荒川区西日暮里２,ＪＲ山手線/日暮里駅 歩1分,築14年,地下2地上36階建,11階,23万円,15000円,23万円,23万円,2LDK,54.03m2,https://suumo.jp/chintai/jnc_000054514067/?bc=100308619346
192,ジェノヴィア隅田川イーストスカイガーデン,賃貸マンション,東京都足立区千住緑町１,京成本線/千住大橋駅 歩8分,築4年,7階建,5階,15.5万円,15000円,-,15.5万円,2LDK,54.57m2,https://suumo.jp/chintai/jnc_000051125554/?bc=100308332137
193,ジェノヴィア隅田川イーストスカイガーデン,賃貸マンション,東京都足立区千住緑町１,京成本線/千住大橋駅 歩8分,築4年,7階建,7階,15.7万円,15000円,-,15.7万円,2LDK,54.57m2,https://suumo.jp/chintai/jnc_000051125570/?bc=100309750276
194,ジェノヴィア隅田川イーストスカイガーデン,賃貸マンション,東京都足立区千住緑町１,京成本線/千住大橋駅 歩8分,築4年,7階建,6階,15.7万円,15000円,-,15.7万円,2LDK,54.57m2,https://suumo.jp/chintai/jnc_000051125569/?bc=100307579608
195,ジェノヴィア隅田川イーストスカイガーデン,賃貸マンション,東京都足立区千住緑町１,京成本線/千住大橋駅 歩8分,築4年,7階建,7階,15.8万円,15000円,-,15.8万円,2LDK,54.57m2,https://suumo.jp/chintai/jnc_000051097334/?bc=100308892197
204,ラミアカーサお花茶屋,賃貸アパート,東京都葛飾区お花茶屋３,京成本線/お花茶屋駅 歩14分,築15年,2階建,2階,11.5万円,4000円,-,5.75万円,2LDK,59.28m2,https://suumo.jp/chintai/jnc_000079111215/?bc=100261392686
207,ドルチェカーザ,賃貸マンション,東京都江戸川区東葛西６,東京メトロ東西線/葛西駅 歩6分,築9年,3階建,1階,11.1万円,4000円,11.1万円,22.2万円,1LDK,54.29m2,https://suumo.jp/chintai/jnc_000079121216/?bc=100309680661
210,ベイシティ葛西2,賃貸マンション,東京都江戸川区東葛西６,東京メトロ東西線/葛西駅 歩6分,築24年,14階建,6階,13.2万円,10000円,13.2万円,13.2万円,1SLDK,56.72m2,https://suumo.jp/chintai/jnc_000078992618/?bc=100309105113
211,ベイシティ葛西2,賃貸マンション,東京都江戸川区東葛西６,東京メトロ東西線/葛西駅 歩6分,築24年,14階建,7階,13.4万円,10000円,13.4万円,13.4万円,2LDK,56.72m2,https://suumo.jp/chintai/jnc_000079121218/?bc=100309749648
212,ベイシティ葛西2,賃貸マンション,東京都江戸川区東葛西６,東京メトロ東西線/葛西駅 歩6分,築24年,14階建,10階,13.4万円,10000円,13.4万円,13.4万円,1SLDK,56.72m2,https://suumo.jp/chintai/jnc_000079121217/?bc=100309688791
213,ベイシティ葛西2,賃貸マンション,東京都江戸川区東葛西６,東京メトロ東西線/葛西駅 歩6分,築24年,14階建,14階,13.7万円,10000円,13.7万円,13.7万円,2LDK,57.72m2,https://suumo.jp/chintai/jnc_000078526964/?bc=100306588289
222,アサバＢ,賃貸マンション,東京都台東区竜泉３,東京メトロ日比谷線/三ノ輪駅 歩6分,築11年,9階建,7階,18万円,10000円,18万円,18万円,2LDK,73.7m2,https://suumo.jp/chintai/jnc_000079127314/?bc=100309804037
225,東京メトロ東西線 葛西駅 5階建 築29年,賃貸マンション,東京都江戸川区東葛西５,東京メトロ東西線/葛西駅 歩9分,築29年,5階建,2階,9.8万円,5000円,9.8万円,-,2LDK,50.84m2,https://suumo.jp/chintai/jnc_000079111271/?bc=100309683328
226,東京メトロ東西線 葛西駅 5階建 築29年,賃貸マンション,東京都江戸川区東葛西５,東京メトロ東西線/葛西駅 歩9分,築29年,5階建,4階,10.1万円,5000円,10.1万円,-,2LDK,50.84m2,https://suumo.jp/chintai/jnc_000078531739/?bc=100140357684
231,メゾンヴェリテ,賃貸マンション,東京都葛飾区立石２,京成押上線/京成立石駅 歩11分,築19年,3階建,1-2階,10.3万円,4000円,5.15万円,10.3万円,1LDK,54.25m2,https://suumo.jp/chintai/jnc_000079115662/?bc=100264353038
234,ラ・ボヌール,賃貸アパート,東京都足立区伊興２,東武伊勢崎線/竹ノ塚駅 歩13分,築9年,3階建,2階,11.5万円,4000円,-,5.75万円,2LDK,60.06m2,https://suumo.jp/chintai/jnc_000079076643/?bc=100309416898
235,ラ・ボヌール,賃貸アパート,東京都足立区伊興２,東武伊勢崎線/竹ノ塚駅 歩13分,築9年,3階建,2階,11.5万円,5000円,-,5.75万円,2LDK,60.06m2,https://suumo.jp/chintai/jnc_000078482962/?bc=100306586372
236,ラ・ボヌール,賃貸アパート,東京都足立区伊興２,東武伊勢崎線/竹ノ塚駅 歩13分,築9年,3階建,2階,11.6万円,5000円,-,5.8万円,2LDK,55.33m2,https://suumo.jp/chintai/jnc_000079121129/?bc=100309681598
243,フュージョナル千住緑町,賃貸マンション,東京都足立区千住緑町３,京成本線/千住大橋駅 歩10分,築2年,12階建,6階,16.8万円,15000円,-,16.8万円,2LDK,56.09m2,https://suumo.jp/chintai/jnc_000079099997/?bc=100309633344
244,フュージョナル千住緑町,賃貸マンション,東京都足立区千住緑町３,京成本線/千住大橋駅 歩10分,築2年,12階建,8階,17万円,15000円,-,17万円,2LDK,56.09m2,https://suumo.jp/chintai/jnc_000077504913/?bc=100300910599
249,レインボーヒルズ,賃貸マンション,東京都葛飾区小菅４,東京メトロ千代田線/綾瀬駅 歩3分,築15年,8階建,5階,15万円,9500円,-,15万円,1LDK,57.15m2,https://suumo.jp/chintai/jnc_000069203010/?bc=100256174143
252,西武池袋線 大泉学園駅 3階建 築41年,賃貸マンション,東京都練馬区東大泉７,西武池袋線/大泉学園駅 歩9分,築41年,3階建,2階,18万円,4000円,18万円,18万円,4SLDK,130.3m2,https://suumo.jp/chintai/jnc_000073165650/?bc=100277906118
255,ブランシェ中村橋,賃貸マンション,東京都練馬区貫井５,西武池袋線/中村橋駅 歩7分,築9年,5階建,4階,13.8万円,11000円,-,-,2LDK,62.94m2,https://suumo.jp/chintai/jnc_000079095925/?bc=100309550582
256,ブランシェ中村橋,賃貸マンション,東京都練馬区貫井５,西武池袋線/中村橋駅 歩7分,築9年,5階建,4階,14.8万円,11000円,-,-,2LDK,62.94m2,https://suumo.jp/chintai/jnc_000079095926/?bc=100309569537
261,メゾンきみ,賃貸マンション,東京都江戸川区船堀４,都営新宿線/船堀駅 歩5分,築16年,3階建,2階,11.6万円,3500円,11.6万円,11.6万円,1LDK,50.17m2,https://suumo.jp/chintai/jnc_000079134178/?bc=100309766140
264,東武東上線 成増駅 5階建 築18年,賃貸マンション,東京都板橋区成増１,東武東上線/成増駅 歩6分,築18年,5階建,3階,13.7万円,-,13.7万円,13.7万円,3DK,57.75m2,https://suumo.jp/chintai/jnc_000074728617/?bc=100292417484
267,ヒルトップ・スクエアー,賃貸マンション,東京都板橋区中丸町,東武東上線/大山駅 歩7分,築24年,13階建,7階,18.9万円,13000円,18.9万円,18.9万円,3LDK,73.28m2,https://suumo.jp/chintai/jnc_000077510750/?bc=100308204943
268,ヒルトップ・スクエアー,賃貸マンション,東京都板橋区中丸町,東武東上線/大山駅 歩7分,築24年,13階建,11階,19.2万円,13000円,19.2万円,19.2万円,3LDK,73.28m2,https://suumo.jp/chintai/jnc_000078433037/?bc=100216129419
273,ロイヤルパークスシーサー,賃貸マンション,東京都足立区西新井栄町１,東武伊勢崎線/西新井駅 歩5分,築14年,14階建,2階,15.1万円,15000円,15.1万円,22.65万円,1LDK,68.27m2,https://suumo.jp/chintai/jnc_000062605509/?bc=100309615213
274,ロイヤルパークスシーサー,賃貸マンション,東京都足立区西新井栄町１,東武伊勢崎線/西新井駅 歩5分,築14年,14階建,8階,15.2万円,15000円,15.2万円,22.8万円,2LDK,63.24m2,https://suumo.jp/chintai/jnc_000079105539/?bc=100309613607
275,ロイヤルパークスシーサー,賃貸マンション,東京都足立区西新井栄町１,東武伊勢崎線/西新井駅 歩5分,築14年,14階建,11階,16.5万円,12000円,16.5万円,16.5万円,2LDK,75.64m2,https://suumo.jp/chintai/jnc_000048431078/?bc=100309690562
276,ロイヤルパークスシーサー,賃貸マンション,東京都足立区西新井栄町１,東武伊勢崎線/西新井駅 歩5分,築14年,14階建,11階,16.5万円,15000円,16.5万円,24.75万円,2LDK,75.64m2,https://suumo.jp/chintai/jnc_000079100002/?bc=100309560208
285,ラフィネス西新井,賃貸マンション,東京都足立区本木２,東武大師線/大師前駅 歩15分,築26年,5階建,5階,11.4万円,10000円,11.4万円,11.4万円,3LDK,71.3m2,https://suumo.jp/chintai/jnc_000079121122/?bc=100309681417
288,Ｇｒａｎｄ　Ｇｌｙｃｉｎｅ,賃貸アパート,東京都練馬区東大泉１,西武池袋線/大泉学園駅 歩4分,築2年,3階建,1階,13.4万円,8000円,13.4万円,13.4万円,1LDK,52.87m2,https://suumo.jp/chintai/jnc_000078262798/?bc=100304976973
289,Ｇｒａｎｄ　Ｇｌｙｃｉｎｅ,賃貸アパート,東京都練馬区東大泉１,西武池袋線/大泉学園駅 歩4分,築2年,3階建,2階,19.2万円,8000円,19.2万円,19.2万円,3LDK,72.05m2,https://suumo.jp/chintai/jnc_000077082550/?bc=100298631769
294,西武池袋線 大泉学園駅 3階建 築2年,賃貸アパート,東京都練馬区東大泉１,西武池袋線/大泉学園駅 歩4分,築2年,3階建,1階,13.4万円,8000円,13.4万円,13.4万円,1LDK,52.87m2,https://suumo.jp/chintai/jnc_000078280695/?bc=100304936232
295,西武池袋線 大泉学園駅 3階建 築2年,賃貸アパート,東京都練馬区東大泉１,西武池袋線/大泉学園駅 歩4分,築2年,3階建,3階,19.2万円,8000円,19.2万円,19.2万円,3LDK,72.05m2,https://suumo.jp/chintai/jnc_000077066531/?bc=100309728684
300,ＪＲ山手線 田端駅 11階建 築43年,賃貸マンション,東京都荒川区西尾久４,ＪＲ山手線/田端駅 歩14分,築43年,11階建,10階,14万円,-,14万円,14万円,2LDK,61.6m2,https://suumo.jp/chintai/jnc_000079064013/?bc=100309361336
301,ＪＲ山手線 田端駅 11階建 築43年,賃貸マンション,東京都荒川区西尾久４,ＪＲ山手線/田端駅 歩14分,築43年,11階建,1階,19.5万円,15000円,19.5万円,19.5万円,3LDK,96.26m2,https://suumo.jp/chintai/jnc_000061027036/?bc=100309697978
306,サンクレイドル上野II,賃貸マンション,東京都台東区東上野５,ＪＲ山手線/上野駅 歩5分,築5年,15階建,14階,20万円,20000円,20万円,20万円,2LDK,53.44m2,https://suumo.jp/chintai/jnc_000079127299/?bc=100309766309
309,ＪＲ山手線 上野駅 15階建 築5年,賃貸マンション,東京都台東区東上野５,ＪＲ山手線/上野駅 歩5分,築5年,15階建,14階,20万円,20000円,20万円,20万円,2LDK,53.44m2,https://suumo.jp/chintai/jnc_000079120392/?bc=100309730790
312,フレンシア田端道灌山,賃貸マンション,東京都北区田端１,ＪＲ山手線/西日暮里駅 歩6分,築12年,5階建,4階,21万円,-,21万円,21万円,2LDK,56.63m2,https://suumo.jp/chintai/jnc_000079044660/?bc=100309313696
